Original RSID,All Merged RSIDs,Merged Dates,Revisions,Locus,Name,Orientation,Sequence Ontology,hg38 Position,Clinical,Gene Length,
rs3748817,118134148,2010-08-16T13:01Z,132,MMEL1,membrane metalloendopeptidase like 1,minus,intron_variant,2594225,,552,
rs3007421,{9435271; 60001030; },{2004-09-24T19:37Z; 2008-05-25T20:51Z; },{123; 130; },PLEKHG5,pleckstrin homology and RhoGEF domain containing G5,minus,intron_variant,6470128,,2664,
rs12087340,,,,,,,,85281309,,,
rs11587876,60946983,2008-05-26T12:34Z,130,DDAH1,dimethylarginine dimethylaminohydrolase 1,minus,intron_variant,85449499,,4022,
rs41286801,,,,EVI5,ecotropic viral integration site 5,minus,3_prime_UTR_variant,92509906,,7389,
rs7552544,{10322331; 17609952; 60974474; },{2006-03-11T09:09Z; 2004-10-8T02:07Z; 2008-05-26T13:42Z; },{126; 123; 130; },,,,,100775336,,,
rs11581062,59237814,2008-05-25T09:52Z,130,SLC30A7,solute carrier family 30 member 7,plus,intron_variant,100941962,,7898,
rs6677309,58233165,2008-05-24T13:04Z,130,CD58,CD58 molecule,minus,intron_variant,116537543,,1086,
rs666930,{3790710; 56584398; 61234707; },{2002-10-8T23:50Z; 2008-05-26T20:56Z; 2008-05-26T20:56Z; },{108; 130; 130; },PHGDH,phosphoglycerate dehydrogenase,plus,intron_variant,119716346,,2585,
rs2050568,57911764,2008-05-24T07:50Z,130,FCRL1,Fc receptor like 1,minus,intron_variant,157800450,,2143,
rs35967351,60634795,2008-05-26T07:38Z,130,SLAMF7,SLAM family member 7,plus,intron_variant,160742013,,524,
rs1359062,61591096,2009-02-27T16:22Z,130,LOC105371664,uncharacterized LOC105371664,minus,intron_variant,192572341,,,
rs55838263,,,,INAVA,innate immunity activator,plus,intron_variant,200905599,,570,
rs4665719,,,,CENPO,centromere protein O,plus,intron_variant,24794990,,459,
rs2163226,,,,,,,,43134116,,,
rs842639,61270108,2008-05-26T21:41Z,130,REL-DT,REL divergent transcript,minus,intron_variant,60868109,,2620,
rs17174870,56893388,2008-05-23T12:46Z,130,MERTK,MER proto-oncogene. tyrosine kinase,plus,intron_variant,111907623,,3826,
rs9967792,{57016405; 57949789; },{2008-05-23T15:35Z; 2009-02-26T14:44Z; },{130; 130; },STAT4,signal transducer and activator of transcription 4,minus,intron_variant,191109708,,2560,
rs9989735,12468897,2004-09-24T18:49Z,123,SP140,SP140 nuclear body protein,plus,genic_downstream_transcript_variant,230250738,,580,
rs11719975,59590168,2008-05-25T15:01Z,130,,,,,18744092,,,
rs2371108,60681036,2008-05-26T08:17Z,130,EOMES,eomesodermin,minus,downstream_transcript_variant,27715526,,3386,
rs1813375,,,,,,,,28037079,,,
rs4679081,7372671,2006-03-11T10:31Z,126,GLB1,galactosidase beta 1,minus,genic_downstream_transcript_variant,32971990,,2512,
rs9828629,61506415,2008-05-27T04:04Z,130,FOXP1,forkhead box P1,minus,intron_variant,71481194,,7103,
rs2028597,59214147,2008-05-25T09:31Z,130,CBLB,Cbl proto-oncogene B,minus,intron_variant,105839992,,6749,
rs1131265,{1405013; 3191006; 11539375; 56525909; },{2002-01-4T16:28Z; 2002-10-9T08:37Z; 2006-03-11T01:57Z; 2008-05-23T17:23Z; },{102; 108; 126; 130; },TIMMDC1,translocase of inner mitochondrial membrane domain containing 1,plus,coding_sequence_variant,119503608,,2379,
rs1920296,{17281814; 58515403; },{2004-10-7T23:51Z; 2008-05-24T20:18Z; },{123; 130; },IQCB1,IQ motif containing B1,minus,intron_variant,121824729,,2577,
rs2255214,58490394,2008-05-24T19:52Z,130,ILDR1,immunoglobulin like domain containing receptor 1,minus,genic_upstream_transcript_variant,122051691,,2659,
rs9282641,{11575854; 36226546; 56444352; 57007985; },{2004-09-24T18:50Z; 2006-10-25T12:25Z; 2008-05-23T15:36Z; 2008-05-23T15:36Z; },{123; 127; 130; 130; },CD86,CD86 molecule,plus,intron_variant,122077920,,2720,
rs1014486,56933105,2008-05-23T14:08Z,130,IL12A-AS1,IL12A antisense RNA 1,minus,intron_variant,159973323,,5871,
rs7665090,60738865,2008-05-26T09:11Z,130,MANBA,mannosidase beta,minus,downstream_transcript_variant,102630445,,4001,
rs2726518,,,,TET2,tet methylcytosine dioxygenase 2,plus,intron_variant,105252041,,9233,
rs6881706,{17375524; 61597771; },{2004-10-8T04:35Z; 2009-02-27T10:33Z; },{123; 130; },IL7R,interleukin 7 receptor,plus,3_prime_UTR_variant,35879053,,562,
rs6880778,,,,,,,,40398993,,,
rs71624119,,,,ANKRD55,ankyrin repeat domain 55,minus,intron_variant,56144902,,2471,
rs756699,{17167268; 41564544; 60108180; },{2004-10-8T09:24Z; 2008-05-25T22:23Z; 2008-05-25T22:23Z; },{123; 130; 130; },TCF7,transcription factor 7,plus,genic_upstream_transcript_variant,134110883,,3288,
rs2546890,{17875296; 57637605; },{2006-03-11T08:55Z; 2008-05-24T03:59Z; },{126; 130; },LOC285626,uncharacterized LOC285626,plus,non_coding_transcript_variant,159332891,,,
rs4976646,58876613,2008-05-25T04:09Z,130,RGS14,regulator of G protein signaling 14,plus,intron_variant,177361568,,2323,
rs17119,{56761402; 57667675; 386542514; },{2009-02-26T18:13Z; 2008-05-24T04:15Z; 2014-08-21T16:14Z; },{130; 130; 142; },LOC101928354,uncharacterized LOC101928354,minus,upstream_transcript_variant,14719264,,,
rs941816,{56491041; 57420388; },{2008-05-23T23:33Z; 2008-05-23T23:33Z; },{130; 130; },PXT1,peroxisomal testis enriched protein 1,minus,intron_variant,36407526,,2073,
rs72928038,,,,BACH2,BTB domain and CNC homolog 2,minus,intron_variant,90267048,,9215,
rs802734,57613412,2008-05-24T03:33Z,130,,,,,127957652,,,
rs11154801,60588890,2008-05-26T06:56Z,130,AHI1,Abelson helper integration site 1,minus,intron_variant,135418216,,3558,
rs17066096,60653501,2008-05-26T07:56Z,130,,,,,137131770,,,
rs7769192,59994357,2008-05-25T20:42Z,130,,,,,137641517,,,
rs67297943,67297944,2009-02-27T05:02Z,130,,,,,137923678,,,
rs212405,60701348,2008-05-26T08:42Z,130,TAGAP-AS1,uncharacterized TAGAP-AS1,plus,genic_downstream_transcript_variant,159049526,,1675,
rs1843938,{10353262; 59114061; },{2004-02-27T13:53Z; 2008-05-25T08:04Z; },{120; 130; },,,,,3073399,,,
rs706015,{17448710; 17499875; },{2006-03-11T00:40Z; 2006-03-11T00:40Z; },{126; 126; },,,,,26975368,,,
rs917116,{10370654; 11486824; 58553642; },{2004-02-27T14:30Z; 2004-04-5T10:43Z; 2008-05-24T21:10Z; },{120; 121; 130; },JAZF1,JAZF zinc finger 1,minus,intron_variant,28133119,,2919,
rs60600003,,,,ELMO1,engulfment and cell motility 1,minus,genic_upstream_transcript_variant,37342860,,2524,
rs201847125,,,,,,,,50285970,,,
rs354033,{58893249; 386583590; },{2008-05-25T04:29Z; 2014-08-21T16:14Z; },{130; 142; },ZNF767P,zinc finger family member 767. pseudogene,minus,intron_variant,149592372,,565,
rs2456449,60509927,2008-05-26T05:41Z,130,,,,,127180735,,,
rs4410871,61098586,2008-05-26T18:24Z,130,PVT1,Pvt1 oncogene,plus,intron_variant,127802782,,1490,
rs2150702,61195712,2008-05-26T20:11Z,130,MLANA,melan-A,plus,intron_variant,5893860,,2328,
rs2104286,{56454393; 57657975; },{2008-05-24T10:36Z; 2009-02-26T21:14Z; },{130; 130; },IL2RA,interleukin 2 receptor subunit alpha,minus,intron_variant,6057081,,3218,
rs793108,{885193; 17571660; 61189052; },{2001-01-18T17:25Z; 2006-03-11T07:22Z; 2008-05-26T19:55Z; },{92; 126; 130; },LOC105376481,uncharacterized LOC105376481,plus,genic_downstream_transcript_variant,31126176,,,
rs2688608,{17741933; 60097676; },{2004-10-8T05:48Z; 2008-05-25T22:26Z; },{123; 130; },,,,,73898590,,,
rs1782645,61125027,2008-05-26T19:09Z,130,ZMIZ1,zinc finger MIZ-type containing 1,plus,intron_variant,79288853,,7615,
rs7923837,{17446587; 61534515; },{2004-10-8T07:09Z; 2008-05-27T04:41Z; },{123; 130; },,,,,92722159,,,
rs7120737,59569115,2008-05-25T14:56Z,130,AGBL2,AGBL carboxypeptidase 2,minus,intron_variant,47680842,,1798,
rs34383631,61249802,2008-05-26T21:08Z,130,,,,,61025857,,,
rs694739,59534456,2008-05-25T14:25Z,130,LOC102723878,uncharacterized LOC102723878,minus,intron_variant,64329760,,,
rs533646,,,,LOC105369519,uncharacterized LOC105369519,plus,genic_upstream_transcript_variant,118696036,,,
rs9736016,{59414436; 61694960; },{2008-05-25T12:41Z; 2009-02-27T06:24Z; },{130; 130; },,,,,118854184,,,
rs523604,{3176906; 17257317; 60643395; },{2002-07-3T13:26Z; 2004-10-8T07:59Z; 2008-05-26T07:50Z; },{106; 123; 130; },CXCR5,C-X-C motif chemokine receptor 5,plus,intron_variant,118885028,,4293,
rs1800693,{17847991; 59417461; },{2006-03-11T06:27Z; 2008-05-25T12:40Z; },{126; 130; },TNFRSF1A,TNF receptor superfamily member 1A,minus,intron_variant,6330842,,2069,
rs12296430,,,,,,,,6394333,,,
rs11052877,{17204214; 60438903; },{2004-10-8T05:43Z; 2008-05-26T04:41Z; },{123; 130; },CD69,CD69 molecule,minus,3_prime_UTR_variant,9753093,,1676,
rs201202118,,,,TSFM,Ts translation elongation factor. mitochondrial,plus,intron_variant,57788278,,1935,
rs7132277,,,,PITPNM2,phosphatidylinositol transfer protein membrane associated 2,minus,intron_variant,123108834,,6785,
rs4772201,61380262,2008-05-27T00:37Z,130,,,,,99434004,,,
rs2236262,61071073,2008-05-26T17:10Z,130,ZFP36L1,ZFP36 ring finger protein like 1,minus,upstream_transcript_variant,68794754,,3094,
rs4903324,59633284,2008-05-25T15:53Z,130,,,,,75495167,,,
rs74796499,,,,GALC,galactosylceramidase,minus,intron_variant,87965983,,2067,
rs12148050,57490961,2008-05-24T01:17Z,130,TRAF3,TNF receptor associated factor 3,plus,intron_variant,102797450,,7806,
rs59772922,,,,,,,,78915123,,,
rs8042861,{17262089; 60261176; },{2004-10-8T09:31Z; 2008-05-26T00:32Z; },{123; 130; },IQGAP1,IQ motif containing GTPase activating protein 1,plus,intron_variant,90434100,,7205,
rs2744148,{17743627; 61473964; },{2004-10-8T08:18Z; 2008-05-27T03:21Z; },{123; 130; },,,,,1023551,,,
rs12927355,17806179,2004-10-8T07:29Z,123,CLEC16A,C-type lectin domain containing 16A,plus,intron_variant,11100913,,6827,
rs4780346,,,,,,,,11194948,,,
rs6498184,{58421703; 59089049; },{2009-02-27T04:11Z; 2008-05-25T07:44Z; },{130; 130; },LOC105371082,uncharacterized LOC105371082,plus,genic_upstream_transcript_variant,11342132,,,
rs7204270,57260814,2008-05-23T20:06Z,130,,,,,30145641,,,
rs1886700,58330934,2008-05-24T16:21Z,130,CDH3,cadherin 3,plus,intron_variant,68652001,,532,
rs12149527,56568452,2008-05-27T11:26Z,130,WWOX,WW domain containing oxidoreductase,plus,intron_variant,79076698,,2331,
rs7196953,59728872,2008-05-25T17:03Z,130,,,,,79615496,,,
rs35929052,61218717,2008-05-26T20:29Z,130,,,,,85960877,,,
rs12946510,,,,,,,,39756123,,,
rs4796791,17593431,2004-10-8T09:08Z,123,STAT3,signal transducer and activator of transcription 3,minus,intron_variant,42378744,,4921,
rs4794058,,,,,,,,47519731,,,
rs8070345,{17496285; 57088200; 74256795; },{2004-10-8T09:13Z; 2008-05-23T17:33Z; 2009-12-2T15:53Z; },{123; 130; 131; },VMP1,vacuole membrane protein 1,plus,intron_variant,59739395,,231,
rs7238078,57560681,2008-05-24T02:55Z,130,MALT1,MALT1 paracaspase,plus,intron_variant,58716959,,9289,
rs1077667,{4380149; 17704116; 61059265; 386515118; },{2004-09-24T19:27Z; 2004-10-8T08:55Z; 2008-05-26T16:37Z; 2014-08-21T16:14Z; },{123; 123; 130; 142; },TNFSF14,TNF superfamily member 14,minus,intron_variant,6668960,,4336,
rs34536443,,,,TYK2,tyrosine kinase 2,minus,coding_sequence_variant,10352441,,767,
rs2288904,{11544828; 17857237; 52826096; 61350475; 151343795; },{2004-09-24T19:27Z; 2006-03-11T08:28Z; 2007-09-21T15:42Z; 2008-05-27T00:02Z; 2012-05-11T08:30Z; },{123; 126; 128; 130; 137; },SLC44A2,solute carrier family 44 member 2,plus,coding_sequence_variant,10631493,,586,
rs1870071,57051881,2008-05-23T16:26Z,130,EPS15L1,epidermal growth factor receptor pathway substrate 15 like 1,minus,intron_variant,16394294,,681,
rs11554159,17852874,2006-03-11T06:07Z,126,IFI30,IFI30 lysosomal thiol reductase,plus,coding_sequence_variant,18175133,,411,
rs8107548,,,,DKKL1,dickkopf like acrosomal protein 1,plus,intron_variant,49367385,,524,
rs4810485,{17841920; 56530668; 60204642; },{2004-10-8T02:27Z; 2008-05-27T00:30Z; 2009-02-27T16:05Z; },{123; 130; 130; },CD40,CD40 molecule,plus,intron_variant,46119307,,1185,
rs17785991,,,,SLC9A8,solute carrier family 9 member A8,plus,intron_variant,49822223,,6147,
rs2248359,57924464,2008-05-24T08:07Z,130,CYP24A1,cytochrome P450 family 24 subfamily A member 1,minus,upstream_transcript_variant,54174978,,3278,
rs2256814,,,,SLC2A4RG,SLC2A4 regulator,plus,intron_variant,63742629,,2361,
rs6062314,{52798809; 60475843; },{2007-09-21T16:07Z; 2008-05-26T04:55Z; },{128; 130; },ZBTB46,zinc finger and BTB domain containing 46,minus,intron_variant,63778359,,5231,
rs470119,{56469193; 58161200; },{2008-05-24T11:38Z; 2008-05-24T11:38Z; },{130; 130; },TYMP,thymidine phosphorylase,minus,intron_variant,50528484,,259,
